Year,Old.Catch,New.Catch
1982,18847,21408
1983,26291,30425
1984,25934,30470
1985,20357,26264
1986,20741,24837
1987,18222,23577
1988,21564,24598
1989,10041,11231
1990,7621,9028
1991,10421,12914
1992,13213,15985
1993,11246,13347
1994,12965,15016
1995,10955,12482
1996,12351,14734
1997,10650,13867
1998,12007,17079
1999,10917,15138
2000,14996,20146
2001,11819,15695
2002,11853,16473
2003,13670,19224
2004,15495,20958
2005,15049,19293
2006,13406,17868
2007,11873,14773
2008,10184,12909
2009,10392,14307
2010,10940,15408
2011,12399,17487
2012,10340,16163
2013,10668,17483
2014,10107,15275
2015,8333,12498
2016,7784,11796
2017,5439,9611
