"Year","avg","pred","loci","hici"
1968,0.16,-0.115263420868276,-0.684767328777647,0.454240487041095
1969,0.16,0.0743206384928169,-0.32966912722904,0.478310404214674
1970,0.09,0.292066534106524,-0.0231641434294456,0.607297211642494
1971,0.28,0.50873726202788,0.213954444637953,0.803520079417807
1972,0.21,0.742569161207244,0.437060339024049,1.04807798339044
1973,0.54,0.987678574624054,0.668458235793818,1.30689891345429
1974,1.26,1.18650839545559,0.859047031492499,1.51396975941869
1975,1.61,1.3472904001586,1.03369507806928,1.66088572224792
1976,2,1.47434823199208,1.15169055772513,1.79700590625903
1977,1.74,1.50426258433673,1.15810458882091,1.85042057985255
1978,1.4,1.34174812869035,1.01787574161723,1.66562051576347
1979,0.35,1.05805973690068,0.734187349827556,1.3819321239738
1980,0.78,0.839588402873295,0.493430407357475,1.18574639838912
1981,0.8,0.751051747161306,0.41964485387308,1.08245864044953
1982,1.11,0.70327657521618,0.357118579700359,1.049434570732
1983,0.53,0.741999642491349,0.410592749203124,1.07340653577957
1984,0.38,0.788178605672266,0.442020610156446,1.13433660118809
1985,1.2,0.740034820776844,0.416162433703723,1.06390720784996
1986,0.82,0.667556057888539,0.343683670815418,0.991428444961659
1987,0.38,0.596778061206849,0.250620065691029,0.942936056722669
1988,0.68,0.511571100031742,0.187698712958621,0.835443487104863
1989,0.24,0.411827052851641,0.0879546657785205,0.735699439924762
1990,0.27,0.347614077648732,0.0014560821329111,0.693772073164552
1991,0.35,0.345333457974726,0.0214610709016049,0.669205845047847
1992,0.46,0.379710472187325,0.0558380851142038,0.703582859260445
1993,0.48,0.423299270477695,0.0771412749618749,0.769457265993516
1994,0.46,0.445226722428395,0.113819829140169,0.77663361571662
1995,0.46,0.491278546038696,0.145120550522876,0.837436541554517
1996,0.67,0.560697293151587,0.229290399863362,0.892104186439813
1997,0.61,0.679253162673978,0.333095167158157,1.0254111581898
1998,0.76,0.958235329958184,0.634362942885063,1.28210771703131
1999,1.01,1.32768814926012,1.003815762187,1.65156053633324
2000,1.7,1.64307828234733,1.29692028683151,1.98923627786315
2001,2.16,1.88855742240672,1.5646850353336,2.21242980947984
2002,2.29,2.10563925046591,1.78176686339278,2.42951163753903
2003,2.42,2.23583341005342,1.8896754145376,2.58199140556924
2004,2.43,2.21825853629709,1.89438614922397,2.54213092337021
2005,1.59,2.09652374624806,1.77265135917494,2.42039613332118
2006,1.34,1.96887440631985,1.62271641080403,2.31503240183567
2007,3.17,1.85962482391466,1.53575243684154,2.18349721098778
2008,1.38,1.74557359919549,1.42170121212237,2.06944598626861
2009,1.17,1.65369253771712,1.3075345422013,1.99985053323294
2010,1.57,1.58490117407602,1.26224349980908,1.90755884834297
2011,1.61,1.51888941525425,1.20529409316493,1.83248473734357
2012,1.63,1.45078462538492,1.12332326142183,1.77824598934802
2013,1.48,1.38130416417326,1.06208382534303,1.7005245030035
2014,1.21,1.31840590863772,1.01289708645452,1.62391473082091
2015,1.54,1.26807799888125,0.973295181491328,1.56286081627118
2016,0.94,1.23082950110438,0.915942168451166,1.54571683375759
2017,0.82,1.20299892292626,0.798355754858975,1.60764209099354
2018,1.53,1.18431856657787,0.614596036166116,1.75404109698963
