"Year","avg","pred","loci","hici"
1986,0.82,0.768420563466836,0.0973637881774723,1.4394773387562
1987,0.38,0.571944272040131,0.160493365909361,0.983395178170902
1988,0.68,0.427641262715513,0.0306849057040635,0.824597619726963
1989,0.24,0.345252374507049,-0.0806192762441378,0.771124025258236
1990,0.27,0.300359522460545,-0.159571927931662,0.760290972852753
1991,0.35,0.334299829099897,-0.12563162129231,0.794231279492104
1992,0.46,0.434843416635735,-0.0250880337564727,0.894774867027942
1993,0.48,0.46051275431377,0.00058130392156297,0.920444204705977
1994,0.46,0.475632523893172,0.0157010735009646,0.935563974285379
1995,0.46,0.515775998152391,0.0558445477601833,0.975707448544598
1996,0.67,0.57228133023896,0.112349879846753,1.03221278063117
1997,0.61,0.63256460570059,0.172633155308383,1.0924960560928
1998,0.76,0.773731277232335,0.313799826840127,1.23366272762454
1999,1.01,1.13083514721722,0.670903696825016,1.59076659760943
2000,1.7,1.63206286670822,1.17213141631601,2.09199431710043
2001,2.16,2.07586305252391,1.6159316021317,2.53579450291611
2002,2.29,2.38126011700214,1.92132866660993,2.84119156739435
2003,2.42,2.42786372136891,1.9679322709767,2.88779517176112
2004,2.43,2.07415248689464,1.61422103650243,2.53408393728685
2005,1.59,1.87713899089962,1.41720754050742,2.33707044129183
2006,1.34,1.98262206230732,1.52269061191511,2.44255351269953
2007,3.17,2.00467239394529,1.54474094355308,2.46460384433749
2008,1.38,1.84278043674257,1.38284898635037,2.30271188713478
2009,1.17,1.45666189661772,0.996730446225516,1.91659334700993
2010,1.57,1.36414136374981,0.904209913357605,1.82407281414202
2011,1.61,1.6087455439394,1.14881409354719,2.06867699433161
2012,1.63,1.58354155506453,1.12361010467232,2.04347300545674
2013,1.48,1.48084857401901,1.0209171236268,1.94078002441122
2014,1.21,1.4002830636638,0.940351613271596,1.86021451405601
2015,1.54,1.19522313385733,0.769351483106139,1.62109478460851
2016,0.94,1.13110095230138,0.73414459528993,1.52805730931283
2017,0.82,1.16740092344913,0.755950017318357,1.5788518295799
2018,1.53,1.30561991865579,0.634004980428129,1.97723485688346
