"Year","avg","pred","loci","hici"
2000,1.7,1.74725884577532,0.880465612670124,2.61405207888051
2001,2.16,2.10582939728402,1.5743648859014,2.63729390866663
2002,2.29,2.28503440106091,1.77229226542381,2.79777653669801
2003,2.42,2.28973922749176,1.73964767244667,2.83983078253685
2004,2.43,2.07415248689464,1.48006643699176,2.66823853679752
2005,1.59,1.87713899089962,1.28305294099674,2.4712250408025
2006,1.34,1.98262206230732,1.38853601240444,2.5767081122102
2007,3.17,2.00467239394529,1.41058634404241,2.59875844384817
2008,1.38,1.84278043674257,1.24869438683969,2.43686648664545
2009,1.17,1.45666189661772,0.862575846714843,2.0507479465206
2010,1.57,1.36414136374981,0.770055313846933,1.95822741365269
2011,1.61,1.6087455439394,1.01465949403652,2.20283159384228
2012,1.63,1.58354155506453,0.989455505161648,2.17762760496741
2013,1.48,1.48084857401901,0.886762524116132,2.07493462392189
2014,1.21,1.4002830636638,0.806197013760922,1.99436911356668
2015,1.54,1.19522313385733,0.64513157881224,1.74531468890241
2016,0.94,1.13110095230138,0.618358816664279,1.64384308793848
2017,0.82,1.16740092344913,0.635936412066516,1.69886543483174
2018,1.53,1.30481459661848,0.437608985879261,2.17202020735771
