"Year","avg","pred","loci","hici"
2000,1.7,1.71136163979071,1.11275390543079,2.30996937415063
2001,2.16,2.11708425041071,1.65949350117477,2.57467499964665
2002,2.29,2.29,1.67740284215944,2.90259715784057
2003,2.42,2.42,1.80740284215944,3.03259715784057
2004,2.43,2.43,1.81740284215944,3.04259715784057
2005,1.59,1.59,0.977402842159436,2.20259715784056
2006,1.34,1.34,0.727402842159436,1.95259715784057
2007,3.17,3.17,2.55740284215944,3.78259715784057
2008,1.38,1.38,0.767402842159435,1.99259715784056
2009,1.17,1.17,0.557402842159435,1.78259715784057
2010,1.57,1.57,0.957402842159436,2.18259715784056
2011,1.61,1.61,0.997402842159435,2.22259715784056
2012,1.63,1.63,1.01740284215944,2.24259715784057
2013,1.48,1.48,0.867402842159436,2.09259715784057
2014,1.21,1.21,0.597402842159436,1.82259715784057
2015,1.54,1.54,0.927402842159436,2.15259715784056
2016,0.94,0.94,0.327402842159436,1.55259715784056
2017,0.82,0.865516704109851,0.407925954873912,1.32310745334579
2018,1.53,1.51838296158343,0.919524044779588,2.11724187838728
